분류,항목,현재상태,권장상태,지금필수,비고
CI/CD,파이프라인 분류,CI와 CD 모두 활성화,유지,true,"GitHub Actions가 빌드하고 GitHub Pages로 배포함"
Pages,Source,GitHub Actions,GitHub Actions,true,"이 저장소는 브랜치 배포가 아니라 워크플로우 배포를 사용함"
Actions,Actions 권한,활성화됨,유지,true,"워크플로우 실행에 필요"
Actions,허용된 actions,GitHub 제공 actions 또는 전체 허용,유지,true,"표준 GitHub actions를 사용함"
Environment,Deployment branches and tags,main 허용,유지,true,"github-pages environment에서 main 배포를 허용해야 함"
Environment,Deployment protection rules,최소 규칙,단순하게 유지,true,"개인 블로그는 승인 규칙을 최소화하는 편이 운영이 쉬움"
Environment,Environment secrets,비어 있음,비워두기,true,"Pages 배포는 내장 GITHUB_TOKEN으로 충분함"
Environment,Environment variables,비어 있음,비워두기,true,"PUBLIC_SITE_URL은 environment variable보다 repository variable이 적합함"
Repository variable,PUBLIC_SITE_URL,미설정,https://seonwook61.github.io/llmObsidianWiki/,false,"나중에 canonical URL과 SEO 메타데이터에 유용"
Site,Project Pages base path,설정 완료,/llmObsidianWiki/,true,"Astro 설정에 반영 완료"
Publishing,About Privacy Contact 페이지,준비됨,유지,true,"신뢰성과 향후 수익화 준비에 도움"
수익화,ads.txt,미설정,나중에 추가,false,"AdSense 준비 단계에서 필요"
수익화,Custom domain,미설정,나중에 추가,false,"사이트가 안정화된 뒤 연결 권장"
CI 품질,Lint 또는 테스트,미설정,나중에 추가,false,"현재 CI는 빌드 성공만 검증함"
